rating_id,user_id,movie_id,stars,review_text,rating_date
1,88,400,4,Bagus sekali.,2025-05-01
2,80,252,2,Beautiful.,2024-05-08
3,11,238,2,"Slow start, strong finish.",2025-03-31
4,82,179,4,Bohut acchi movie.,2024-10-02
5,14,147,1,Great regional pick.,2024-11-14
6,47,239,1,Could be better.,2024-05-15
7,24,321,4,Worth the watch.,2025-01-10
8,66,309,1,Loved it.,2024-05-16
9,46,384,1,Mediocre plot.,2025-02-01
10,42,298,1,Great regional pick.,2024-10-29
11,50,144,5,Tidak terlalu menarik.,2025-01-18
12,67,187,4,Could be better.,2024-06-11
13,35,255,3,Hay qua.,2024-06-14
14,9,186,4,Great regional pick.,2024-11-02
15,39,348,1,Bohut acchi movie.,2024-08-07
16,32,354,5,Mediocre plot.,2024-07-10
17,59,155,2,Great regional pick.,2024-04-04
18,51,271,5,"Slow start, strong finish.",2025-05-17
19,43,326,3,"Slow start, strong finish.",2025-05-23
20,84,170,3,Bohut acchi movie.,2025-02-03
21,89,203,4,Bohut acchi movie.,2024-06-30
22,51,264,3,Beautiful.,2025-03-22
23,82,352,5,Tidak terlalu menarik.,2024-09-14
24,49,244,4,Bohut acchi movie.,2024-05-29
25,73,203,5,Worth the watch.,2024-07-02
26,88,382,1,Beautiful.,2024-11-23
27,91,208,4,Great regional pick.,2025-05-31
28,89,136,4,Pacing issues.,2024-12-12
29,18,256,2,Great regional pick.,2025-03-04
30,20,317,4,Bagus sekali.,2024-11-16
31,77,346,5,"Slow start, strong finish.",2024-12-30
32,65,315,5,Loved it.,2025-05-10
33,47,375,5,Pacing issues.,2024-05-14
34,14,228,3,Could be better.,2025-02-26
35,79,123,5,Pacing issues.,2025-03-13
36,83,305,3,"Slow start, strong finish.",2024-05-25
37,2,151,3,Tidak terlalu menarik.,2024-12-18
38,96,366,5,Mediocre plot.,2025-03-19
39,74,214,4,Bohut acchi movie.,2024-10-18
40,60,357,2,Bohut acchi movie.,2024-04-13
41,62,154,3,"Slow start, strong finish.",2024-05-14
42,15,173,3,Great regional pick.,2024-09-23
43,59,206,5,Hay qua.,2024-09-26
44,61,150,4,Beautiful.,2025-03-23
45,58,264,1,Great regional pick.,2024-04-23
46,91,159,1,Bohut acchi movie.,2025-02-26
47,14,185,2,Worth the watch.,2024-06-29
48,71,182,3,Worth the watch.,2024-11-05
49,60,219,4,Pacing issues.,2024-07-04
50,24,322,4,Loved it.,2025-04-13
51,79,202,4,Mediocre plot.,2024-11-06
52,50,103,2,Tidak terlalu menarik.,2024-08-21
53,97,133,5,Bagus sekali.,2025-05-15
54,69,196,3,Bohut acchi movie.,2024-07-10
55,59,159,3,Pacing issues.,2025-06-16
56,63,371,3,Mediocre plot.,2024-10-16
57,79,301,5,Bagus sekali.,2024-09-26
58,46,335,5,Could be better.,2025-05-22
59,87,253,5,Mediocre plot.,2024-05-14
60,87,169,3,Bagus sekali.,2024-08-01
61,40,160,2,Bohut acchi movie.,2025-03-22
62,19,362,4,"Slow start, strong finish.",2025-01-31
63,18,395,4,"Slow start, strong finish.",2024-07-05
64,63,376,2,Worth the watch.,2024-06-25
65,63,248,2,Could be better.,2024-09-09
66,58,128,3,Loved it.,2024-12-05
67,18,200,4,Worth the watch.,2024-12-15
68,84,354,4,Pacing issues.,2024-12-08
69,54,328,4,Could be better.,2024-05-13
70,73,116,2,Great regional pick.,2024-04-17
71,36,216,5,Great regional pick.,2024-06-26
72,100,335,5,Beautiful.,2025-05-01
