subscription_id,user_id,plan,start_date,end_date,amount_local,currency,amount_sgd
1,1,Premium,2024-01-15,,799.8,INR,12.9
2,2,Basic,2024-02-03,2025-05-04,31.15,MYR,8.9
3,3,Free,2024-03-22,2025-02-17,0.0,VND,0.0
4,4,Premium,2024-11-18,2024-10-14,45.15,MYR,12.9
5,5,Basic,2025-04-14,,31.15,MYR,8.9
6,6,Basic,2024-09-26,2024-08-25,31.15,MYR,8.9
7,7,Free,2025-02-12,,0.0,THB,0.0
8,8,Free,2025-05-20,,0.0,IDR,0.0
9,9,Free,2024-06-05,,0.0,MYR,0.0
10,10,Free,2024-03-06,,0.0,PHP,0.0
11,11,Basic,2024-09-14,,106800.0,IDR,8.9
12,12,Free,2024-04-27,,0.0,INR,0.0
13,13,Basic,2024-09-30,,240.3,THB,8.9
14,14,Basic,2024-10-27,2025-06-06,240.3,THB,8.9
15,15,Free,2024-09-26,2025-05-18,0.0,IDR,0.0
16,16,Free,2024-04-18,,0.0,INR,0.0
17,17,Basic,2024-07-22,,169100.0,VND,8.9
18,18,Free,2024-01-01,2024-11-23,0.0,MYR,0.0
19,19,Premium,2024-04-24,2025-01-19,554.7,PHP,12.9
20,20,Free,2024-02-29,,0.0,VND,0.0
21,21,Free,2024-03-28,2025-04-02,0.0,MYR,0.0
22,22,Basic,2024-05-08,,240.3,THB,8.9
23,23,Free,2024-06-18,,0.0,MYR,0.0
24,24,Basic,2024-08-04,2025-03-30,31.15,MYR,8.9
25,25,Basic,2024-07-24,,169100.0,VND,8.9
26,26,Free,2025-01-17,,0.0,THB,0.0
27,27,Free,2024-05-03,,0.0,IDR,0.0
28,28,Premium,2024-01-22,,45.15,MYR,12.9
29,29,Basic,2024-08-13,,382.7,PHP,8.9
30,30,Premium,2024-03-01,,12.9,SGD,12.9
31,31,Free,2024-03-13,,0.0,MYR,0.0
32,32,Free,2025-05-12,,0.0,IDR,0.0
33,33,Basic,2025-04-29,,31.15,MYR,8.9
34,34,Basic,2024-07-13,,31.15,MYR,8.9
35,35,Free,2024-12-28,,0.0,MYR,0.0
