event_id,user_id,movie_id,watch_started,watch_minutes,completed,device,country
1,1,101,2024-04-01 14:45:00,132,TRUE,TV,IN
2,1,102,2024-04-02 17:00:00,45,FALSE,Mobile,IN
3,2,103,2024-04-03 11:30:00,96,TRUE,TV,MY
4,53,378,2025-03-28 21:27:30,86,FALSE,Mobile,PH
5,27,400,2024-04-16 04:06:07,109,TRUE,Web,ID
6,98,104,2024-12-30 05:15:33,149,TRUE,Mobile,ID
7,50,380,2024-09-19 07:08:21,109,TRUE,Mobile,SG
8,35,300,2024-12-18 01:54:31,113,TRUE,TV,MY
9,52,340,2024-07-09 03:09:16,44,FALSE,Tablet,IN
10,69,302,2025-06-13 09:01:44,8,FALSE,TV,ID
11,11,337,2024-08-20 03:40:28,111,TRUE,Mobile,ID
12,49,209,2025-03-20 04:12:35,85,FALSE,Mobile,PH
13,98,316,2024-10-13 22:40:55,99,TRUE,Web,ID
14,61,377,2024-05-11 10:56:45,6,FALSE,Tablet,IN
15,45,136,2024-05-02 06:27:57,59,FALSE,Web,MY
16,32,111,2024-07-28 08:36:46,53,FALSE,Mobile,ID
17,61,389,2024-09-17 07:09:12,31,FALSE,Mobile,IN
18,33,159,2024-08-06 04:48:57,96,TRUE,Tablet,MY
19,14,260,2025-06-22 05:37:44,150,TRUE,TV,TH
20,49,202,2024-05-30 00:40:37,103,FALSE,TV,PH
21,81,153,2024-11-21 05:54:31,64,FALSE,Web,VN
22,77,390,2024-05-02 21:35:02,32,FALSE,Mobile,TH
23,55,275,2024-04-10 19:51:11,96,TRUE,Web,PH
24,63,322,2025-01-07 07:40:27,29,FALSE,TV,PH
25,59,323,2024-08-15 19:25:51,41,FALSE,Web,ID
26,84,376,2025-04-11 13:02:48,71,FALSE,Mobile,VN
27,94,226,2024-06-07 07:30:48,153,TRUE,Mobile,TH
28,58,338,2025-06-17 14:46:02,64,FALSE,TV,ID
29,49,115,2025-04-19 22:32:27,88,FALSE,Web,PH
30,24,233,2024-12-21 08:22:33,126,TRUE,Mobile,MY
31,77,385,2024-04-08 21:13:49,72,FALSE,TV,TH
32,25,224,2025-02-10 16:22:09,23,FALSE,Mobile,VN
33,98,344,2025-04-17 05:34:22,63,FALSE,Mobile,ID
34,3,251,2024-09-20 02:51:22,25,FALSE,Mobile,VN
35,32,398,2025-01-12 15:02:23,80,FALSE,Mobile,ID
36,68,382,2024-12-13 22:23:48,90,TRUE,Mobile,MY
37,59,257,2024-10-13 06:30:15,71,FALSE,Mobile,ID
38,93,262,2024-07-02 20:39:42,51,FALSE,Web,VN
39,98,199,2024-09-16 01:42:07,49,FALSE,Web,ID
40,36,369,2024-11-06 19:28:41,152,FALSE,Tablet,ID
41,25,217,2025-01-06 07:18:38,77,FALSE,Mobile,VN
42,2,124,2024-05-13 08:26:19,138,TRUE,TV,MY
43,90,352,2024-06-19 16:22:20,34,FALSE,Web,PH
44,74,341,2025-04-07 19:52:46,74,FALSE,Mobile,ID
45,24,230,2025-04-07 01:31:03,15,FALSE,Mobile,MY
46,9,396,2024-05-12 15:20:44,104,TRUE,Mobile,MY
47,73,144,2024-10-10 18:36:53,79,FALSE,Mobile,ID
48,98,216,2025-05-11 21:27:29,108,TRUE,Mobile,ID
49,57,320,2024-11-24 04:42:01,78,FALSE,TV,MY
50,8,151,2024-09-09 09:26:50,158,FALSE,TV,ID
51,34,181,2024-10-04 07:24:39,22,FALSE,Mobile,MY
52,10,102,2025-02-12 07:19:10,42,FALSE,Mobile,PH
53,77,219,2024-11-10 18:39:51,122,TRUE,Web,TH
54,90,220,2024-10-23 11:39:20,118,TRUE,Web,PH
55,81,202,2025-02-25 05:09:53,152,TRUE,Mobile,VN
56,29,237,2024-07-20 11:28:35,40,FALSE,Mobile,PH
57,22,392,2024-11-11 04:05:28,80,FALSE,Mobile,TH
58,60,307,2024-10-29 11:02:12,79,FALSE,TV,ID
59,64,121,2025-03-02 13:35:52,114,TRUE,Web,TH
60,78,114,2024-06-10 22:27:23,66,FALSE,Mobile,VN
61,87,111,2024-10-27 08:02:58,149,TRUE,TV,VN
62,98,341,2025-05-09 02:11:13,46,FALSE,TV,ID
63,36,400,2025-03-05 13:29:06,48,FALSE,TV,ID
64,63,341,2024-12-27 06:27:51,25,FALSE,Mobile,PH
65,42,183,2024-12-13 03:59:09,28,FALSE,Mobile,SG
66,64,306,2025-06-02 06:32:38,75,FALSE,Mobile,TH
67,12,230,2024-12-08 02:15:36,82,FALSE,Mobile,IN
68,99,101,2025-05-27 10:40:39,105,FALSE,Mobile,MY
69,7,366,2025-01-07 00:03:21,50,FALSE,TV,TH
70,64,127,2024-09-06 02:36:02,162,TRUE,Mobile,TH
71,17,325,2025-04-12 11:40:58,75,FALSE,Mobile,VN
72,81,182,2024-11-28 08:48:08,157,FALSE,TV,VN
73,71,159,2025-03-25 10:00:43,106,TRUE,Tablet,VN
74,83,356,2024-11-13 16:41:37,41,FALSE,TV,VN
75,35,342,2024-10-07 07:28:24,108,FALSE,Mobile,MY
76,19,361,2024-07-16 00:41:59,100,TRUE,Web,PH
77,36,360,2024-10-25 12:27:33,108,TRUE,Web,ID
78,37,397,2025-04-16 07:33:27,78,FALSE,Web,TH
79,58,271,2025-06-03 16:29:10,139,TRUE,Web,ID
80,49,197,2024-10-03 11:39:28,118,FALSE,TV,PH
81,30,343,2025-01-22 02:39:49,107,TRUE,Mobile,SG
82,85,354,2024-04-29 18:05:44,40,FALSE,Mobile,VN
83,76,152,2025-03-08 23:54:09,86,FALSE,Mobile,VN
84,59,174,2025-02-13 10:33:19,5,FALSE,Web,ID
85,20,341,2024-10-23 20:22:57,21,FALSE,Mobile,VN
86,89,269,2025-05-20 11:26:27,103,TRUE,Mobile,IN
87,41,350,2025-05-26 05:16:10,162,FALSE,Mobile,VN
88,9,248,2024-09-24 16:39:05,62,FALSE,Web,MY
89,56,152,2025-03-11 14:46:03,27,FALSE,Mobile,IN
90,39,124,2024-12-08 22:46:55,9,FALSE,Web,MY
91,38,175,2024-10-07 16:10:12,93,TRUE,TV,ID
92,73,188,2024-08-14 23:31:45,48,FALSE,Mobile,ID
93,49,355,2025-06-27 22:50:12,160,TRUE,Mobile,PH
94,60,231,2024-04-08 07:10:50,165,TRUE,Web,ID
95,60,380,2024-08-01 16:52:44,75,FALSE,Mobile,ID
96,45,318,2024-10-12 06:10:07,152,TRUE,Mobile,MY
97,39,297,2025-04-11 07:39:04,52,FALSE,Mobile,MY
98,49,252,2024-11-16 07:30:00,148,TRUE,Mobile,PH
99,85,390,2024-05-09 02:15:03,103,TRUE,Tablet,VN
100,96,247,2024-09-26 17:43:03,129,FALSE,TV,PH
101,46,198,2024-10-12 16:01:19,58,FALSE,TV,VN
102,93,150,2024-05-01 14:53:24,37,FALSE,Mobile,VN
103,57,397,2025-01-09 09:30:22,10,FALSE,Web,MY
104,12,268,2025-02-17 17:32:20,77,FALSE,Mobile,IN
105,17,288,2025-05-18 07:48:19,140,FALSE,TV,VN
106,35,232,2025-04-10 06:17:40,44,FALSE,Tablet,MY
107,38,159,2025-03-30 18:19:47,88,FALSE,Tablet,ID
108,19,304,2025-06-07 21:03:36,59,FALSE,Mobile,PH
109,51,236,2025-05-22 18:25:58,5,FALSE,Mobile,VN
110,48,400,2025-01-21 22:49:48,69,FALSE,Web,MY
111,48,220,2025-04-02 04:57:57,29,FALSE,Mobile,MY
112,72,214,2024-05-20 02:27:03,85,FALSE,TV,TH
113,60,310,2024-06-30 14:59:49,79,FALSE,Mobile,ID
114,5,353,2024-06-30 04:38:33,79,FALSE,Mobile,MY
115,69,299,2025-03-19 08:31:57,36,FALSE,Mobile,ID
116,96,180,2025-02-17 06:00:29,140,TRUE,TV,PH
117,63,244,2024-04-26 09:52:32,159,TRUE,TV,PH
118,28,221,2025-01-07 16:57:28,115,TRUE,Mobile,MY
119,88,284,2024-05-18 00:44:07,96,TRUE,Mobile,PH
120,25,333,2024-06-11 04:54:59,33,FALSE,TV,VN
121,83,111,2024-05-10 06:51:06,165,TRUE,Web,VN
